epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,1499.31,1.33288,0.80439,0.00413,0.89721,0.90408,0.95153,0.63806,1.21064,0.51166,0.00442,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,1797.27,1.32677,0.79149,0.00406,0.89641,0.9061,0.95297,0.63916,1.20725,0.51479,0.00441,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,2102.05,1.32473,0.78848,0.00411,0.89441,0.90998,0.95267,0.63896,1.21032,0.50621,0.00442,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,2404.52,1.32035,0.79405,0.0041,0.89921,0.9039,0.95283,0.63847,1.20903,0.50665,0.00441,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,2713.85,1.32361,0.79359,0.00408,0.8995,0.90594,0.95304,0.63956,1.20865,0.50283,0.00442,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,3014.9,1.31463,0.7822,0.00403,0.89754,0.90861,0.95285,0.63938,1.21054,0.49842,0.00442,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,3328.5,1.30791,0.77819,0.004,0.89787,0.90889,0.95322,0.63918,1.20828,0.49823,0.00441,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,3640.46,1.29665,0.76114,0.00402,0.9034,0.91049,0.95306,0.63816,1.20844,0.49492,0.00441,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,3946.59,1.29985,0.75495,0.00401,0.90361,0.91178,0.95314,0.63824,1.20886,0.49408,0.00441,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,4255.28,1.29168,0.74745,0.00396,0.9048,0.91362,0.95304,0.6392,1.20677,0.49586,0.00441,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,4554.55,1.28443,0.76876,0.00392,0.90289,0.91251,0.95314,0.63888,1.20735,0.493,0.00441,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,4864.46,1.28797,0.7571,0.00392,0.90033,0.91273,0.95338,0.63884,1.20803,0.48876,0.00441,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,5172.51,1.27389,0.75249,0.0039,0.90052,0.9118,0.95331,0.63969,1.20539,0.48978,0.0044,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,5473.89,1.26445,0.75274,0.00388,0.90157,0.9103,0.95334,0.63986,1.20374,0.49417,0.00439,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,5788.99,1.26847,0.73856,0.00389,0.89509,0.9174,0.95331,0.64011,1.20134,0.49819,0.00438,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,6088.88,1.24935,0.72246,0.00377,0.90634,0.91108,0.95348,0.64021,1.20182,0.49602,0.00438,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,6413.67,1.24932,0.72921,0.00379,0.89709,0.91922,0.95261,0.64059,1.20146,0.49522,0.00437,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,6712.97,1.26016,0.71089,0.00384,0.90184,0.91633,0.95164,0.64058,1.20181,0.49204,0.00437,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,7011.82,1.23574,0.71574,0.00377,0.9008,0.91981,0.95162,0.64064,1.19936,0.49083,0.00436,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,7312.74,1.24594,0.71701,0.00376,0.90398,0.91023,0.95111,0.64028,1.19761,0.48969,0.00436,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,8799.51,1.23982,0.70481,0.00374,0.90261,0.91321,0.95065,0.64011,1.19605,0.49062,0.00436,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,9108.31,1.22371,0.69656,0.00371,0.90438,0.91314,0.95163,0.64047,1.19603,0.4888,0.00435,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,9408.98,1.21558,0.70382,0.00365,0.90752,0.91835,0.95168,0.6409,1.19417,0.48749,0.00435,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,9719.84,1.21007,0.69023,0.00364,0.90991,0.91418,0.95152,0.64203,1.19744,0.48423,0.00436,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,10021.6,1.20627,0.69126,0.00364,0.90901,0.91457,0.95187,0.64267,1.19549,0.48478,0.00435,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,10334.9,1.20579,0.69984,0.00368,0.90221,0.91955,0.95184,0.64225,1.19427,0.48721,0.00434,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,10648.9,1.19937,0.68958,0.00362,0.90446,0.9192,0.95346,0.64366,1.19465,0.487,0.00434,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
